,loss,MSE_train,MSE_test,MSE_min_train,MSE_min_test,time
0,1788.1421834309897,2.3535385278817125,5.393159354625624,2.3535385278817125,5.393159354625624,0.03621666666666667
1,487.88938903808594,0.9158542106801532,1.6524506417807647,0.9158542106801532,1.6524506417807647,0.0029558
2,373.1828196207682,0.7720475390907,1.204318118181042,0.7720475390907,1.204318118181042,0.0027808333333333335
3,322.9105499267578,0.6980042940167681,1.0839608431633825,0.6980042940167681,1.0839608431633825,0.0025478666666666665
4,292.9295247395833,0.704397394085347,1.0798914311216645,0.6980042940167681,1.0798914311216645,0.0024692333333333335
5,271.955517578125,0.7077178577563876,1.052960554774783,0.6980042940167681,1.052960554774783,0.0034689
6,257.29200744628906,0.6680762156295917,0.9724401430059842,0.6680762156295917,0.9724401430059842,0.002510333333333334
7,241.63193359375,0.6863609554269173,0.9976353389350813,0.6680762156295917,0.9724401430059842,0.0025818000000000004
8,228.72332865397135,0.6436135055577794,0.9558948253482811,0.6436135055577794,0.9558948253482811,0.002574733333333333
9,217.16382497151693,0.6735722658448292,1.0007441645579491,0.6436135055577794,0.9558948253482811,0.0037598
10,207.17779947916668,0.5997995920905207,0.8917766529830814,0.5997995920905207,0.8917766529830814,0.0025548666666666666
11,199.27315979003907,0.6275872439879921,0.9106093369872656,0.5997995920905207,0.8917766529830814,0.002446433333333333
12,190.38600311279296,0.6023756552002102,0.8977053878555743,0.5997995920905207,0.8917766529830814,0.0026249999999999997
13,181.52549997965494,0.612487146565831,0.892839931267001,0.5997995920905207,0.8917766529830814,0.0030439999999999994
14,174.47177378336588,0.6412494237024204,0.9111060954260545,0.5997995920905207,0.8917766529830814,0.0026126666666666668
15,166.71057535807293,0.615496887596352,0.8757756711576979,0.5997995920905207,0.8757756711576979,0.0028792333333333333
16,160.56585642496745,0.598161641206352,0.828719034238609,0.598161641206352,0.828719034238609,0.002657966666666666
17,157.63951161702474,0.626794613900725,0.8815249492762017,0.598161641206352,0.828719034238609,0.0024661
18,153.6689910888672,0.6084584887421243,0.8639261833913082,0.598161641206352,0.828719034238609,0.003362066666666667
19,149.67662353515624,0.632657649926311,0.8501072545303344,0.598161641206352,0.828719034238609,0.0025739666666666663
20,147.20023701985676,0.5854663710706712,0.796850769680263,0.5854663710706712,0.796850769680263,0.003319666666666667
21,143.51602579752605,0.5908193253965651,0.7989847796269323,0.5854663710706712,0.796850769680263,0.0024638666666666666
22,142.34292653401693,0.593756706265958,0.8136931052880678,0.5854663710706712,0.796850769680263,0.002447166666666666
23,140.0831507364909,0.5961148664195409,0.8223771855773172,0.5854663710706712,0.796850769680263,0.0029499333333333332
24,138.0067392985026,0.6090590962539475,0.8246637628466115,0.5854663710706712,0.796850769680263,0.004065366666666665
25,136.9231730143229,0.5664339952045,0.7650721436863341,0.5664339952045,0.7650721436863341,0.0028757333333333337
26,134.41189219156902,0.5962907787991909,0.8088555282164268,0.5664339952045,0.7650721436863341,0.0024931666666666665
27,132.6296023050944,0.5714075618163699,0.7736747686798002,0.5664339952045,0.7650721436863341,0.002837733333333333
28,131.47209981282552,0.5958667161532787,0.8031781834519511,0.5664339952045,0.7650721436863341,0.0027542
29,129.8209991455078,0.5575715311888747,0.7597875386005271,0.5575715311888747,0.7597875386005271,0.002612133333333334
30,129.1708201090495,0.5893928980881367,0.7847687155375588,0.5575715311888747,0.7597875386005271,0.0024436666666666673
31,127.99306157430013,0.5701621282429142,0.7766802824587222,0.5575715311888747,0.7597875386005271,0.0028156999999999995
32,127.60779113769532,0.569104793037318,0.7666367154891011,0.5575715311888747,0.7597875386005271,0.0024375
33,125.88995107014973,0.592977472185976,0.7801079675999097,0.5575715311888747,0.7597875386005271,0.002803466666666667
34,127.06901448567709,0.5531669165360041,0.7645386883619374,0.5531669165360041,0.7597875386005271,0.0028664
35,125.03097661336263,0.5745394808905945,0.7850703861809124,0.5531669165360041,0.7597875386005271,0.0030782000000000006
36,123.8369857788086,0.5528205833944488,0.7561620842052934,0.5528205833944488,0.7561620842052934,0.0025345
37,124.36416829427084,0.5864273337980762,0.8192438050965425,0.5528205833944488,0.7561620842052934,0.0024866666666666665
38,123.37571207682292,0.5781768019739861,0.7856474809960468,0.5528205833944488,0.7561620842052934,0.002620066666666666
39,124.7197364807129,0.6069983519720725,0.7978433029682049,0.5528205833944488,0.7561620842052934,0.0025071
40,123.76025085449218,0.5451248883967871,0.741699597514434,0.5451248883967871,0.741699597514434,0.002465366666666666
41,122.24898529052734,0.5421706625824345,0.7314963969928294,0.5421706625824345,0.7314963969928294,0.0025458999999999994
42,120.92795232137044,0.5523693053613686,0.7653449661968104,0.5421706625824345,0.7314963969928294,0.0030792333333333334
43,120.85112533569335,0.5468752216355557,0.7551253020296437,0.5421706625824345,0.7314963969928294,0.003329066666666666
44,120.89372787475585,0.5490213017584825,0.7437381814321407,0.5421706625824345,0.7314963969928294,0.0026596333333333334
45,120.60322443644206,0.5421850289085125,0.725166263564686,0.5421706625824345,0.725166263564686,0.002585733333333334
46,120.29869918823242,0.5377546794463678,0.7406994839008648,0.5377546794463678,0.725166263564686,0.004144699999999999
47,120.45906066894531,0.5307413431922653,0.7466109615233795,0.5307413431922653,0.725166263564686,0.0025808999999999997
48,119.5599957784017,0.5316190059292951,0.7341588965282573,0.5307413431922653,0.725166263564686,0.0025112000000000008
49,119.8968490600586,0.5363224015719588,0.7341925594448638,0.5307413431922653,0.725166263564686,0.0027797666666666667
50,119.82078425089519,0.5352861960532419,0.7287365913305448,0.5307413431922653,0.725166263564686,0.0029336999999999996
