Time O(n^2),Time O(nlogn),
1.761,0.381999,
1.781,0.369003,
1.72648,0.368963,
1.778,0.388,
1.79195,0.357001,
1.756,0.363,
1.78902,0.375001,
1.82699,0.363001,
1.733,0.354999,
1.738,0.358025,
1.71802,0.359964,
1.74602,0.371004,
1.824,0.394,
1.777,0.369007,
1.77797,0.374003,
1.844,0.409004,
1.951,0.409996,
1.92945,0.359988,
1.829,0.38893,
1.74405,0.3661,
1.80682,0.369999,
1.75599,0.362971,
1.78603,0.39297,
1.777,0.367999,
1.743,0.36,
1.76,0.37,
1.74602,0.356981,
1.77605,0.360984,
1.72097,0.366978,
1.724,0.367513,
1.76129,0.380916,
1.87292,0.370003,
1.77903,0.38298,
1.801,0.383002,
1.828,0.37,
1.807,0.367002,
1.766,0.359001,
1.73203,0.359965,
1.776,0.383001,
1.74855,0.364019,
